ident,ru,en
4424ae06-0062-4eda-9ea2-432ac9d07936, Проверить подписку или рефералов ,
061a3386-60f1-4008-8dd9-308e85f50999,"Говорим ай-ай-ай, объясняем, что если он подписался может потребоваться около 10 минут, чтобы система сработала и напоминаем ему, что нужно прописывать свой email через команду \/email и отправляем назад ",
de029ff2-b29f-4ba0-88b8-a0abe10201a8,"Объясните пользователю что происходит, и что он может либо привести друга по ссылке {$_REF_URL_} либо подписаться на [link $_BOOSTY_URL_]бусти[/link] или [link $_PATREON_URL_]патреон[/link] чтобы пройти дальше.[br/][br/]Далее делаем кнопку а-ля ""проверка"" ",
9c928410-858d-4bbd-bd87-b61fe766692b," Вернуть к выбору шаблонов (Эта кнопка только для вас, в настоящей истории её быть не должно) ",
