ident,ru,en
checkpoint_name,Шаблоны,
84e8a48e-2aa9-4336-8b5e-d0e49a25e6a6,"Шаблон реферального блока - Если вам нужно не пускать пользователя дальше пока он не приведет N человек или не оформит подписку[br/]Цензура - Если вам нужно скрыть часть контента от пользователей, которые не оформили подписку[br/]Платная ветка - Если вам нужно создать платную ветку сюжета[br/]Меню - Если вам нужно создать меню для удобства пользователя ",
2f3c077d-1158-46ea-b74a-9453b25cba65, Схема реферальны блок ,
5a6302ab-fd54-4e13-9dbd-185013bf41b9, Схема цензуры ,
d1f33441-97cc-48f4-aa57-bc4509bd93f6, Схема платной ветки ,
aa60846c-ba0e-4c37-b5bb-133348ceb8b0, Схема меню ,
6a957550-78d2-42b6-b279-6dbe7ede4115, Перейти к подробному описанию инструментов для работы ,
