ident,ru,en
checkpoint_name,Инструменты для работы,
6e135b2e-38e5-4050-a057-cd3d227dc45f,Как работает навигация по вашей истории и исправление ошибок ,
f377f9ca-2a3d-4726-88bf-b4dbd1f76260, дальше ,
22847519-5a8d-4809-b495-b2a4b7112389,"Push на github, github actions и pull результата ",
78bbf0b9-372b-4fbf-9013-c9316a889f03, дальше ,
3b56e622-19c5-486f-8a19-a9c896d95363,Как тестировать истории целиком и частями ,
313c7c94-7027-4099-8ab2-5e1f29f5f746, дальше ,
11a09abf-636e-40a9-ab72-f2d875e3e93d,Запрос на добавление в продакшн ,
